(-45.000000,31.000000,120.000000),(0.400794,-0.690078,-0.281971,-0.532587),(21,0),(0,0),(0,0)
(-58.000000,29.000000,115.000000),(0.511220,-0.605507,-0.275961,-0.543931),(22,0),(0,0),(0,0)
(-59.000000,23.000000,125.000000),(0.482761,-0.561108,-0.346262,-0.576370),(23,0),(0,0),(0,0)
(-54.000000,18.000000,116.000000),(0.422786,-0.564965,-0.409157,-0.578495),(24,0),(0,0),(0,0)
(-54.000000,13.000000,107.000000),(0.393119,-0.540722,-0.375196,-0.642110),(25,0),(0,0),(0,0)
(-50.000000,11.000000,113.000000),(0.433258,-0.592599,-0.486998,-0.473230),(26,0),(0,0),(0,0)
(-43.000000,17.000000,120.000000),(0.482215,-0.591700,-0.432102,-0.480259),(27,0),(0,0),(0,0)
(-35.000000,11.000000,119.000000),(0.563869,-0.576198,-0.430027,-0.406356),(28,0),(0,0),(0,0)
(-7.000000,51.000000,34.000000),(1.000000,0.000000,0.000000,0.000000),(1,0),(0,0),(0,0)
(3.000000,52.000000,37.000000),(0.984817,-0.171883,-0.017188,-0.017188),(2,0),(0,0),(0,0)
(5.000000,50.000000,46.000000),(0.956472,-0.273979,-0.100401,-0.003952),(3,0),(0,0),(0,0)
(8.000000,49.000000,43.000000),(0.964680,-0.250353,-0.031182,-0.075787),(4,0),(0,0),(0,0)
(16.000000,45.000000,42.000000),(0.917051,-0.355283,-0.164100,-0.076567),(5,0),(0,0),(0,0)
(25.000000,45.000000,44.000000),(0.962617,-0.244858,-0.043418,-0.107366),(6,0),(0,0),(0,0)
(23.000000,42.000000,42.000000),(0.979449,-0.108832,-0.087055,-0.145799),(7,0),(0,0),(0,0)
(18.000000,36.000000,36.000000),(0.954528,-0.051556,-0.221774,-0.192443),(8,0),(0,0),(0,0)
(19.000000,34.000000,38.000000),(0.883146,-0.162991,-0.348175,-0.268816),(9,0),(0,0),(0,0)
(17.000000,32.000000,39.000000),(0.814052,-0.300440,-0.430873,-0.247797),(10,0),(0,0),(0,0)
(10.000000,28.000000,37.000000),(0.761827,-0.449015,-0.385125,-0.263978),(11,0),(0,0),(0,0)
(10.000000,28.000000,41.000000),(0.683154,-0.565411,-0.363225,-0.285793),(12,0),(0,0),(0,0)
(10.000000,33.000000,38.000000),(0.636125,-0.607363,-0.399727,-0.258214),(13,0),(0,0),(0,0)
(14.000000,35.000000,38.000000),(0.587336,-0.594592,-0.484184,-0.258963),(14,0),(0,0),(0,0)
(16.000000,41.000000,43.000000),(0.453567,-0.676217,-0.517692,-0.262684),(14,1),(0,0),(0,0)
(9.000000,45.000000,43.000000),(0.543376,-0.646726,-0.498398,-0.195162),(15,1),(0,0),(0,0)
(17.000000,43.000000,47.000000),(0.526954,-0.703983,-0.368351,-0.301736),(16,1),(0,0),(0,0)
(18.000000,39.000000,55.000000),(0.429808,-0.760602,-0.289423,-0.391132),(17,1),(0,0),(0,0)
(27.000000,38.000000,48.000000),(0.468440,-0.712463,-0.221953,-0.472967),(18,1),(0,0),(0,0)
(22.000000,32.000000,40.000000),(0.354499,-0.782946,-0.264236,-0.437614),(19,1),(0,0),(0,0)
(24.000000,31.000000,32.000000),(0.400794,-0.690078,-0.281971,-0.532587),(19,2),(0,0),(0,0)
(18.000000,29.000000,27.000000),(0.511220,-0.605507,-0.275961,-0.543931),(19,3),(0,0),(0,0)
(17.000000,23.000000,37.000000),(0.482761,-0.561108,-0.346262,-0.576370),(19,4),(0,0),(0,0)
(22.000000,18.000000,28.000000),(0.422786,-0.564965,-0.409157,-0.578495),(19,5),(0,0),(0,0)
(22.000000,13.000000,19.000000),(0.393119,-0.540722,-0.375196,-0.642110),(19,6),(0,0),(0,0)
(26.000000,11.000000,25.000000),(0.433258,-0.592599,-0.486998,-0.473230),(19,7),(0,0),(0,0)
(33.000000,17.000000,32.000000),(0.482215,-0.591700,-0.432102,-0.480259),(19,8),(0,0),(0,0)
(41.000000,11.000000,31.000000),(0.563869,-0.576198,-0.430027,-0.406356),(19,9),(0,0),(0,0)
(40.000000,15.000000,23.000000),(0.495879,-0.571819,-0.366411,-0.541174),(19,10),(0,0),(0,0)
(41.000000,10.000000,14.000000),(0.527958,-0.444947,-0.433313,-0.579244),(19,11),(0,0),(0,0)
(49.000000,14.000000,14.000000),(0.565259,-0.369859,-0.543423,-0.498376),(19,12),(0,0),(0,0)
